,index,speed,time,start_latitude
96,43551,22,2023-09-05T23:10:37.000,41.9529189391
97,43549,23,2023-09-05T23:10:37.000,41.9530473793
98,43546,22,2023-09-05T23:10:37.000,41.9527793008
99,43183,27,2023-09-05T23:20:41.000,41.9542409021
100,43184,25,2023-09-05T23:20:41.000,41.9543511743
101,43192,22,2023-09-05T23:20:41.000,41.9544240318
102,43187,16,2023-09-05T23:20:41.000,41.9541531514
103,43173,27,2023-09-05T23:20:42.000,41.9524069352
104,43162,28,2023-09-05T23:20:42.000,41.9532811726
105,43151,22,2023-09-05T23:20:42.000,41.9533921986
106,42879,23,2023-09-06T01:10:19.000,41.9541531514
107,42610,3,2023-09-06T01:20:41.000,41.9541531514
108,41022,10,2023-09-06T02:40:03.000,41.9533921986
109,40625,24,2023-09-06T03:10:17.000,41.9533921986
110,40185,25,2023-09-06T03:40:03.000,41.9532811726
111,40183,23,2023-09-06T03:40:03.000,41.9531625184
112,40182,23,2023-09-06T03:40:03.000,41.9533921986
113,40180,25,2023-09-06T03:40:03.000,41.9530473793
114,40084,25,2023-09-06T03:50:16.000,41.9536492536
115,40077,24,2023-09-06T03:50:16.000,41.9537825128
116,40075,25,2023-09-06T03:50:16.000,41.9538366862
117,40018,21,2023-09-06T03:50:18.000,41.9540197354
118,40026,23,2023-09-06T03:50:18.000,41.9538755379
119,40013,25,2023-09-06T03:50:19.000,41.9535105845
120,39815,25,2023-09-06T04:01:05.000,41.9541531514
121,39812,25,2023-09-06T04:01:05.000,41.9540197354
122,39807,25,2023-09-06T04:01:05.000,41.9542409021
123,39802,25,2023-09-06T04:01:05.000,41.9544240318
124,39782,18,2023-09-06T04:01:05.000,41.9543511743
125,39779,20,2023-09-06T04:01:06.000,41.9535105845
126,39778,20,2023-09-06T04:01:06.000,41.9526256799
127,39775,23,2023-09-06T04:01:06.000,41.9531625184
128,39765,22,2023-09-06T04:01:06.000,41.9533921986
129,39762,27,2023-09-06T04:01:06.000,41.9530473793
130,39757,21,2023-09-06T04:01:06.000,41.9532811726
131,39588,18,2023-09-06T04:10:17.000,41.9536492536
132,39578,18,2023-09-06T04:10:17.000,41.9538366862
133,39575,18,2023-09-06T04:10:17.000,41.9537825128
134,39531,27,2023-09-06T04:10:19.000,41.9541531514
135,39539,21,2023-09-06T04:10:19.000,41.9538755379
136,39518,21,2023-09-06T04:10:20.000,41.9527793008
137,39510,24,2023-09-06T04:10:20.000,41.9526056908
138,39509,18,2023-09-06T04:10:20.000,41.9535105845
139,39505,23,2023-09-06T04:10:20.000,41.9530473793
140,39503,25,2023-09-06T04:10:20.000,41.9529189391
141,39496,24,2023-09-06T04:10:20.000,41.9526256799
142,39256,21,2023-09-06T04:20:41.000,41.9538755379
143,39251,22,2023-09-06T04:20:41.000,41.9544240318
144,39248,25,2023-09-06T04:20:41.000,41.9541531514
145,39241,27,2023-09-06T04:20:41.000,41.9543511743
146,39240,27,2023-09-06T04:20:41.000,41.9542409021
147,39234,27,2023-09-06T04:20:41.000,41.9540197354
148,39204,22,2023-09-06T04:20:42.000,41.9535105845
149,39200,25,2023-09-06T04:20:42.000,41.9530473793
150,39224,22,2023-09-06T04:20:42.000,41.9533921986
151,39231,23,2023-09-06T04:20:42.000,41.9532811726
152,39209,22,2023-09-06T04:20:42.000,41.9531625184
153,38968,24,2023-09-06T04:30:51.000,41.9538366862
154,38953,20,2023-09-06T04:30:51.000,41.9537825128
155,38947,20,2023-09-06T04:30:51.000,41.9536492536
156,38865,25,2023-09-06T04:30:54.000,41.9540197354
157,38857,23,2023-09-06T04:30:54.000,41.9541531514
158,38847,21,2023-09-06T04:30:54.000,41.9538755379
159,38818,29,2023-09-06T04:30:55.000,41.9529189391
160,38821,27,2023-09-06T04:30:55.000,41.9526056908
161,38840,27,2023-09-06T04:30:55.000,41.9527793008
162,38825,27,2023-09-06T04:30:55.000,41.9524069352
