,index,speed
1870,1915,19
1871,1908,26
1872,1917,31
1873,1916,19
1874,1927,25
1875,1926,33
1876,1925,17
1877,1924,27
1878,1928,38
1879,1922,25
1880,1923,19
1881,1919,27
1882,1918,23
1883,1921,25
1884,1920,30
1885,1903,20
1886,1220,25
1887,1210,30
1888,1211,23
1889,1213,29
1890,1214,22
1891,1215,15
1892,1217,27
1893,1218,14
1894,1219,27
1895,1221,28
1896,1212,24
1897,1223,29
1898,1224,20
1899,1225,30
1900,1226,23
1901,1227,30
1902,1228,18
1903,1229,14
1904,1230,31
1905,1231,26
1906,1232,23
1907,1233,27
1908,1222,23
1909,526,23
1910,527,18
1911,528,24
1912,531,23
1913,533,29
1914,536,35
1915,540,23
1916,530,31
1917,510,19
1918,501,24
1919,502,25
1920,503,23
1921,504,16
1922,505,30
1923,507,21
1924,508,16
1925,509,16
1926,512,19
1927,522,19
1928,514,27
1929,515,24
1930,516,21
1931,517,22
1932,518,27
1933,519,16
1934,520,28
1935,521,21
1936,523,15
1937,513,23
1938,500,22
