,index,speed
456,40197,27
457,40201,29
458,40205,38
459,40196,31
460,40208,34
461,40213,27
462,40215,29
463,40221,37
464,40222,25
465,40206,27
466,40029,25
467,40031,30
468,40035,31
469,40040,32
470,40041,33
471,40042,24
472,40043,34
473,40046,25
474,40049,29
475,40050,35
476,40051,22
477,40053,36
478,40055,30
479,40065,32
480,40067,35
481,40047,27
482,39819,34
483,39825,30
484,39826,27
485,39832,34
486,39836,30
487,39828,31
488,39849,26
489,39843,29
490,39862,36
491,39857,30
492,39853,20
493,39850,27
494,39854,35
495,39603,25
496,39599,26
497,39584,28
498,39583,25
499,39577,26
500,39301,31
501,39302,30
502,39303,27
503,39306,24
504,39314,25
505,39317,20
506,39319,29
507,39321,29
508,39311,25
509,39289,25
510,39287,24
511,39293,27
512,39300,34
513,39298,31
514,39299,18
515,39296,28
516,38959,39
517,38919,33
518,38907,31
519,38912,35
520,38915,27
521,38916,24
522,38918,29
523,38920,29
524,38924,29
525,38925,25
526,38926,22
527,38927,29
528,38928,27
529,38929,27
530,38930,0
531,38935,20
532,38923,33
533,38547,0
534,38539,20
535,38540,18
536,38541,23
537,38542,29
538,38543,28
539,38544,26
540,38551,15
541,38548,25
542,38554,29
543,38555,19
544,38557,25
545,38558,27
546,38560,17
547,38546,27
548,38134,31
549,38132,24
550,38135,31
551,38130,27
552,38128,19
553,38131,29
554,38139,28
555,38141,24
556,38142,25
557,38143,24
558,38145,31
559,38146,28
560,38147,22
561,38140,31
562,38148,27
563,37712,29
564,37714,22
565,37715,23
566,37716,30
567,37717,22
568,37718,25
569,37721,24
570,37722,23
571,37724,34
572,37723,23
573,37726,29
574,37727,35
575,37729,26
576,37730,29
577,37731,33
578,37732,30
579,37733,32
580,37734,31
581,37735,23
582,37725,28
583,37737,28
584,37225,17
585,37224,24
586,37223,23
587,37222,24
588,37218,26
589,37220,20
590,37219,33
591,37227,26
592,37221,30
593,37228,30
594,37237,21
595,37230,30
596,37231,28
597,37232,27
598,37233,31
599,37234,25
600,37235,30
601,37236,25
602,37238,27
603,37239,17
604,37229,25
605,36695,26
606,36697,31
607,36696,24
608,36694,27
609,36698,27
610,36691,18
611,36689,22
612,36688,29
613,36692,27
614,36699,23
615,36702,23
616,36706,28
617,36703,21
618,36705,15
619,36713,22
620,36708,30
621,36709,27
622,36710,33
623,36711,27
624,36712,20
625,36701,33
626,36138,20
627,36137,30
628,36136,31
629,36135,31
630,36130,22
631,36133,25
632,36132,24
633,36131,27
634,36140,25
635,36134,27
636,36143,26
637,36141,23
638,36145,27
639,36163,22
640,36144,26
641,36160,23
642,36159,29
643,36158,31
644,36156,23
645,36157,25
646,36154,24
647,36153,23
648,36152,31
649,36146,28
650,36155,25
651,35528,26
652,35531,30
653,35530,29
654,35532,31
655,35527,24
656,35521,12
657,35525,24
658,35523,25
659,35522,19
660,35534,23
661,35526,20
662,35535,20
663,35524,20
664,35537,33
665,35536,19
666,35549,25
667,35548,27
668,35547,23
669,35546,27
670,35550,32
671,35544,23
672,35545,26
673,35540,27
674,35538,25
675,35543,30
676,35542,21
677,34879,28
678,34867,27
679,34868,29
680,34869,27
681,34872,24
682,34873,25
683,34874,22
684,34875,27
685,34877,25
686,34878,23
687,34880,23
688,34870,30
689,34883,26
690,34882,25
691,34896,23
692,34895,22
693,34894,23
694,34893,26
695,34897,29
696,34889,24
697,34887,24
698,34886,26
699,34884,27
700,34891,20
701,34244,27
702,34245,34
703,34246,27
704,34247,29
705,34248,20
706,34250,29
707,34251,19
708,34252,30
709,34253,26
710,34255,25
711,34257,18
712,34258,31
713,34259,35
714,34260,24
715,34262,19
716,34263,25
717,34264,20
718,34266,24
719,34254,30
720,33545,29
721,33546,29
722,33547,21
723,33555,23
724,33552,30
725,33553,24
726,33548,27
727,33532,10
728,33533,26
729,33540,29
730,33530,27
731,33534,24
732,33531,23
733,33535,23
734,33542,25
735,33537,26
736,33538,22
737,33539,27
738,33541,27
739,33543,22
740,33544,23
741,33536,21
742,32850,25
743,32849,16
744,32848,27
745,32846,33
746,32845,22
747,32842,26
748,32843,23
749,32852,24
750,32841,25
751,32840,26
752,32844,27
753,32853,22
754,32847,25
755,32855,23
756,32856,25
757,32857,23
758,32858,23
759,32866,22
760,32859,31
761,32860,25
762,32861,28
763,32862,27
764,32863,28
765,32864,23
766,32865,29
767,32854,25
768,32109,18
769,32115,27
770,32113,25
771,32087,25
772,32074,21
773,32075,23
774,32076,20
775,32078,28
776,32079,27
777,32080,20
778,32081,24
779,32082,25
780,32083,25
781,32085,26
782,32086,22
783,32088,15
784,32077,25
785,32090,25
786,32102,27
787,32101,23
788,32100,24
789,32103,22
790,32099,19
791,32098,20
792,32089,30
793,32096,18
794,32095,25
795,32094,33
796,32093,27
797,32092,22
798,32091,29
799,32097,25
800,31308,25
801,31313,27
802,31314,31
803,31310,29
804,31318,24
805,31320,19
806,31321,30
807,31322,27
808,31316,20
809,31291,21
