,index,speed,time
145,45357,27,2023-09-05T22:40:08.000
146,45358,22,2023-09-05T22:40:08.000
147,45356,21,2023-09-05T22:40:08.000
148,45355,26,2023-09-05T22:40:08.000
149,45365,24,2023-09-05T22:40:08.000
150,45359,26,2023-09-05T22:40:08.000
151,45366,22,2023-09-05T22:40:08.000
152,45368,23,2023-09-05T22:40:08.000
153,45381,23,2023-09-05T22:40:08.000
154,45370,21,2023-09-05T22:40:08.000
155,45371,32,2023-09-05T22:40:08.000
156,45372,29,2023-09-05T22:40:08.000
157,45374,27,2023-09-05T22:40:08.000
158,45375,23,2023-09-05T22:40:08.000
159,45376,24,2023-09-05T22:40:08.000
160,45377,22,2023-09-05T22:40:08.000
161,45378,29,2023-09-05T22:40:08.000
162,45380,29,2023-09-05T22:40:08.000
163,45367,24,2023-09-05T22:40:08.000
164,44808,26,2023-09-05T22:50:23.000
165,44807,21,2023-09-05T22:50:23.000
166,44804,27,2023-09-05T22:50:23.000
167,44803,29,2023-09-05T22:50:23.000
168,44809,21,2023-09-05T22:50:23.000
169,44801,25,2023-09-05T22:50:23.000
170,44800,25,2023-09-05T22:50:23.000
171,44799,20,2023-09-05T22:50:23.000
172,44798,25,2023-09-05T22:50:23.000
173,44802,27,2023-09-05T22:50:23.000
174,44811,27,2023-09-05T22:50:23.000
175,44829,28,2023-09-05T22:50:23.000
176,44815,18,2023-09-05T22:50:23.000
177,44830,18,2023-09-05T22:50:23.000
178,44814,31,2023-09-05T22:50:23.000
179,44823,23,2023-09-05T22:50:23.000
180,44822,35,2023-09-05T22:50:23.000
181,44828,18,2023-09-05T22:50:23.000
182,44820,23,2023-09-05T22:50:23.000
183,44819,23,2023-09-05T22:50:23.000
184,44818,24,2023-09-05T22:50:23.000
185,44817,29,2023-09-05T22:50:23.000
186,44821,25,2023-09-05T22:50:23.000
187,44263,26,2023-09-05T23:01:10.000
188,44267,29,2023-09-05T23:01:10.000
189,44266,38,2023-09-05T23:01:10.000
190,44265,14,2023-09-05T23:01:10.000
191,44264,25,2023-09-05T23:01:10.000
192,44261,26,2023-09-05T23:01:10.000
193,44255,31,2023-09-05T23:01:10.000
194,44259,27,2023-09-05T23:01:10.000
195,44258,23,2023-09-05T23:01:10.000
196,44256,31,2023-09-05T23:01:10.000
197,44254,18,2023-09-05T23:01:10.000
198,44253,20,2023-09-05T23:01:10.000
199,44268,23,2023-09-05T23:01:10.000
200,44260,24,2023-09-05T23:01:10.000
201,44269,36,2023-09-05T23:01:10.000
202,44283,29,2023-09-05T23:01:10.000
203,44271,30,2023-09-05T23:01:10.000
204,44270,24,2023-09-05T23:01:10.000
205,44287,25,2023-09-05T23:01:10.000
206,44286,29,2023-09-05T23:01:10.000
207,44285,23,2023-09-05T23:01:10.000
208,44284,29,2023-09-05T23:01:10.000
209,44280,28,2023-09-05T23:01:10.000
