,index,speed,time,start_latitude
96,45920,29,2023-09-05T22:30:56.000,41.8259389558
97,45912,35,2023-09-05T22:30:56.000,41.8011472177
98,45916,27,2023-09-05T22:30:56.000,41.857516
99,45913,33,2023-09-05T22:30:56.000,41.7792170504
100,45917,27,2023-09-05T22:30:56.000,41.852032941
101,45923,30,2023-09-05T22:30:56.000,41.8229970652
102,45919,29,2023-09-05T22:30:56.000,41.7719786518
103,45921,25,2023-09-05T22:30:56.000,41.9030171606
104,45922,31,2023-09-05T22:30:56.000,41.8390750509
105,45925,27,2023-09-05T22:30:56.000,41.8156969641
106,45924,24,2023-09-05T22:30:56.000,41.7282307117
107,45918,22,2023-09-05T22:30:56.000,41.8084267863
108,45880,20,2023-09-05T22:30:57.000,41.983168718
109,45883,18,2023-09-05T22:30:57.000,41.9168064565
110,45884,29,2023-09-05T22:30:57.000,41.954013773
111,45895,22,2023-09-05T22:30:57.000,41.9467318416
112,45897,23,2023-09-05T22:30:57.000,41.9686159566
113,45901,27,2023-09-05T22:30:57.000,41.9249017152
114,45902,28,2023-09-05T22:30:57.000,41.9758925735
115,45903,30,2023-09-05T22:30:57.000,41.9613138803
116,45909,23,2023-09-05T22:30:57.000,41.9279828403
117,45900,21,2023-09-05T22:30:57.000,41.9321801597
118,45379,20,2023-09-05T22:40:08.000,41.7719786518
119,45373,29,2023-09-05T22:40:08.000,41.7792170504
120,45338,21,2023-09-05T22:40:09.000,41.9279828403
121,45340,28,2023-09-05T22:40:09.000,41.9905010348
122,45339,24,2023-09-05T22:40:09.000,41.8259389558
123,45337,27,2023-09-05T22:40:09.000,41.8390750509
124,45341,27,2023-09-05T22:40:09.000,41.983168718
125,45334,30,2023-09-05T22:40:09.000,41.9758925735
126,45333,17,2023-09-05T22:40:09.000,41.8666135775
127,45332,22,2023-09-05T22:40:09.000,41.8084267863
128,45335,27,2023-09-05T22:40:09.000,41.9249017152
129,45342,25,2023-09-05T22:40:09.000,41.8829972374
130,45351,27,2023-09-05T22:40:09.000,41.8011472177
131,45344,23,2023-09-05T22:40:09.000,41.9030171606
132,45353,27,2023-09-05T22:40:09.000,41.8760846544
133,45352,30,2023-09-05T22:40:09.000,41.9394618483
134,45354,20,2023-09-05T22:40:09.000,41.9168064565
135,45350,23,2023-09-05T22:40:09.000,41.9467318416
136,45343,27,2023-09-05T22:40:09.000,41.8156969641
137,45348,31,2023-09-05T22:40:09.000,41.7938776185
138,45347,25,2023-09-05T22:40:09.000,41.8957442792
139,45346,27,2023-09-05T22:40:09.000,41.8229970652
140,45345,21,2023-09-05T22:40:09.000,41.9321801597
141,45349,23,2023-09-05T22:40:09.000,41.7865297579
142,44779,25,2023-09-05T22:50:24.000,41.7938776185
143,44781,34,2023-09-05T22:50:24.000,41.7355283222
144,44782,21,2023-09-05T22:50:24.000,41.7792170504
145,44783,27,2023-09-05T22:50:24.000,41.8666135775
146,44784,32,2023-09-05T22:50:24.000,41.7592331585
147,44785,29,2023-09-05T22:50:24.000,41.857516
148,44786,26,2023-09-05T22:50:24.000,41.8011472177
149,44787,23,2023-09-05T22:50:24.000,41.7865297579
150,44780,21,2023-09-05T22:50:24.000,41.9103219014
151,44789,29,2023-09-05T22:50:24.000,41.8390750509
152,44790,26,2023-09-05T22:50:24.000,41.8760846544
153,44791,24,2023-09-05T22:50:24.000,41.7282307117
154,44792,23,2023-09-05T22:50:24.000,41.8829972374
155,44793,25,2023-09-05T22:50:24.000,41.7719786518
156,44794,29,2023-09-05T22:50:24.000,41.852032941
157,44795,23,2023-09-05T22:50:24.000,41.9030171606
158,44788,27,2023-09-05T22:50:24.000,41.76470325
159,44796,25,2023-09-05T22:50:24.000,41.9168064565
160,44797,21,2023-09-05T22:50:24.000,41.8957442792
161,44757,24,2023-09-05T22:50:25.000,41.983168718
162,44760,25,2023-09-05T22:50:25.000,41.9758925735
163,44766,31,2023-09-05T22:50:25.000,41.9905010348
164,44777,25,2023-09-05T22:50:25.000,41.9686159566
165,44773,25,2023-09-05T22:50:25.000,41.9467318416
166,44774,29,2023-09-05T22:50:25.000,41.9613138803
167,44778,29,2023-09-05T22:50:25.000,41.9394618483
168,44770,25,2023-09-05T22:50:25.000,41.954013773
169,44282,32,2023-09-05T23:01:10.000,41.7592331585
170,44251,21,2023-09-05T23:01:11.000,41.8259389558
171,44250,27,2023-09-05T23:01:11.000,41.8011472177
172,44249,30,2023-09-05T23:01:11.000,41.8390750509
173,44248,22,2023-09-05T23:01:11.000,41.8760846544
174,44247,19,2023-09-05T23:01:11.000,41.8084267863
175,44245,23,2023-09-05T23:01:11.000,41.8829972374
