,index,speed,time,start_latitude
96,46512,25,2023-09-05T22:20:52.000,41.9279807743
97,46513,23,2023-09-05T22:20:52.000,41.9168043897
98,46514,23,2023-09-05T22:20:52.000,41.8957422115
99,46515,24,2023-09-05T22:20:52.000,41.9831666552
100,46516,20,2023-09-05T22:20:52.000,41.9394597831
101,46517,32,2023-09-05T22:20:52.000,41.8259368847
102,46518,27,2023-09-05T22:20:52.000,41.8390729803
103,46523,27,2023-09-05T22:20:52.000,41.9540117081
104,46521,23,2023-09-05T22:20:52.000,41.8760825857
105,46522,28,2023-09-05T22:20:52.000,41.857496
106,46524,23,2023-09-05T22:20:52.000,41.9103198343
107,46525,27,2023-09-05T22:20:52.000,41.9686138926
108,46526,25,2023-09-05T22:20:52.000,41.97589051
109,46527,22,2023-09-05T22:20:52.000,41.9248996489
110,46528,25,2023-09-05T22:20:52.000,41.8906470248
111,46529,23,2023-09-05T22:20:52.000,41.8829951691
112,46530,20,2023-09-05T22:20:52.000,41.9030150932
113,46520,27,2023-09-05T22:20:52.000,41.9321780939
114,45941,40,2023-09-05T22:30:55.000,41.7209382823
115,45940,21,2023-09-05T22:30:55.000,41.8829951691
116,45937,27,2023-09-05T22:30:55.000,41.7592310843
117,45935,27,2023-09-05T22:30:55.000,41.9168043897
118,45933,25,2023-09-05T22:30:55.000,41.8229949942
119,45926,20,2023-09-05T22:30:55.000,41.9467297764
120,45930,21,2023-09-05T22:30:55.000,41.857496
121,45928,28,2023-09-05T22:30:55.000,41.764701176
122,45927,28,2023-09-05T22:30:55.000,41.8084247143
123,45942,25,2023-09-05T22:30:55.000,41.9540117081
124,45931,25,2023-09-05T22:30:55.000,41.8011451454
125,45943,44,2023-09-05T22:30:55.000,41.9831666552
126,45934,21,2023-09-05T22:30:55.000,41.9279807743
127,45946,21,2023-09-05T22:30:55.000,41.9686138926
128,45945,24,2023-09-05T22:30:55.000,41.9613118159
129,45958,22,2023-09-05T22:30:55.000,41.9248996489
130,45957,27,2023-09-05T22:30:55.000,41.9321780939
131,45956,24,2023-09-05T22:30:55.000,41.9103198343
132,45955,28,2023-09-05T22:30:55.000,41.8390729803
133,45954,35,2023-09-05T22:30:55.000,41.7282286362
134,45959,31,2023-09-05T22:30:55.000,41.8156948926
135,45952,26,2023-09-05T22:30:55.000,41.8666115084
136,45951,22,2023-09-05T22:30:55.000,41.8760825857
137,45950,29,2023-09-05T22:30:55.000,41.8259368847
138,45949,25,2023-09-05T22:30:55.000,41.7501017847
139,45948,25,2023-09-05T22:30:55.000,41.9394597831
140,45961,30,2023-09-05T22:30:55.000,41.97589051
141,45364,11,2023-09-05T22:40:08.000,41.9103198343
142,45363,5,2023-09-05T22:40:08.000,41.8829951691
143,45361,30,2023-09-05T22:40:08.000,41.8259368847
144,45360,24,2023-09-05T22:40:08.000,41.8906470248
145,45357,27,2023-09-05T22:40:08.000,41.9686138926
146,45358,22,2023-09-05T22:40:08.000,41.97589051
147,45356,21,2023-09-05T22:40:08.000,41.9467297764
148,45355,26,2023-09-05T22:40:08.000,41.857496
149,45365,24,2023-09-05T22:40:08.000,41.8011451454
150,45359,26,2023-09-05T22:40:08.000,41.8666115084
151,45366,22,2023-09-05T22:40:08.000,41.8520308712
152,45368,23,2023-09-05T22:40:08.000,41.8957422115
153,45381,23,2023-09-05T22:40:08.000,41.9540117081
154,45370,21,2023-09-05T22:40:08.000,41.9613118159
155,45371,32,2023-09-05T22:40:08.000,41.786527685
156,45372,29,2023-09-05T22:40:08.000,41.793875546
157,45374,27,2023-09-05T22:40:08.000,41.7792149771
158,45375,23,2023-09-05T22:40:08.000,41.9831666552
159,45376,24,2023-09-05T22:40:08.000,41.9030150932
160,45377,22,2023-09-05T22:40:08.000,41.9394597831
161,45378,29,2023-09-05T22:40:08.000,41.7719765782
162,45380,29,2023-09-05T22:40:08.000,41.8390729803
163,45367,24,2023-09-05T22:40:08.000,41.764701176
164,44808,26,2023-09-05T22:50:23.000,41.8084247143
165,44807,21,2023-09-05T22:50:23.000,41.9686138926
166,44804,27,2023-09-05T22:50:23.000,41.8957422115
167,44803,29,2023-09-05T22:50:23.000,41.7501017847
168,44809,21,2023-09-05T22:50:23.000,41.764701176
169,44801,25,2023-09-05T22:50:23.000,41.8760825857
170,44800,25,2023-09-05T22:50:23.000,41.7719765782
171,44799,20,2023-09-05T22:50:23.000,41.8666115084
172,44798,25,2023-09-05T22:50:23.000,41.8829951691
173,44802,27,2023-09-05T22:50:23.000,41.8390729803
174,44811,27,2023-09-05T22:50:23.000,41.7592310843
175,44829,28,2023-09-05T22:50:23.000,41.8259368847
176,44815,18,2023-09-05T22:50:23.000,41.9248996489
177,44830,18,2023-09-05T22:50:23.000,41.9279807743
178,44814,31,2023-09-05T22:50:23.000,41.8156948926
179,44823,23,2023-09-05T22:50:23.000,41.8229949942
180,44822,35,2023-09-05T22:50:23.000,41.9321780939
181,44828,18,2023-09-05T22:50:23.000,41.97589051
182,44820,23,2023-09-05T22:50:23.000,41.9168043897
183,44819,23,2023-09-05T22:50:23.000,41.8011451454
184,44818,24,2023-09-05T22:50:23.000,41.9103198343
185,44817,29,2023-09-05T22:50:23.000,41.7792149771
186,44821,25,2023-09-05T22:50:23.000,41.8906470248
187,44263,26,2023-09-05T23:01:10.000,41.8229949942
188,44267,29,2023-09-05T23:01:10.000,41.7592310843
189,44266,38,2023-09-05T23:01:10.000,41.7209382823
190,44265,14,2023-09-05T23:01:10.000,41.8390729803
191,44264,25,2023-09-05T23:01:10.000,41.9394597831
192,44261,26,2023-09-05T23:01:10.000,41.9168043897
193,44255,31,2023-09-05T23:01:10.000,41.8084247143
194,44259,27,2023-09-05T23:01:10.000,41.8666115084
195,44258,23,2023-09-05T23:01:10.000,41.8259368847
196,44256,31,2023-09-05T23:01:10.000,41.7501017847
197,44254,18,2023-09-05T23:01:10.000,41.9613118159
198,44253,20,2023-09-05T23:01:10.000,41.9103198343
199,44268,23,2023-09-05T23:01:10.000,41.764701176
200,44260,24,2023-09-05T23:01:10.000,41.9030150932
201,44269,36,2023-09-05T23:01:10.000,41.8156948926
202,44283,29,2023-09-05T23:01:10.000,41.857496
203,44271,30,2023-09-05T23:01:10.000,41.9321780939
204,44270,24,2023-09-05T23:01:10.000,41.9467297764
205,44287,25,2023-09-05T23:01:10.000,41.793875546
206,44286,29,2023-09-05T23:01:10.000,41.9540117081
207,44285,23,2023-09-05T23:01:10.000,41.97589051
208,44284,29,2023-09-05T23:01:10.000,41.8760825857
